// X Y Z Original_cloud_index LIntensity dZVariance ScanAngleRank EchoRatio

// voxel 0
10.5 0.5 0.5 1.000000 33153.000000 0.000533 -16.000000 100.000000

// voxel 1
11.5 0.5 0.5 1.000000 2181.000000 0.000533 -16.000000 100.000000

// voxel 3
11.0 1.0 0.0 0.000000 6337.000000 0.000146 15.000000 100.000000
11.5 1.5 0.5 0.000000 6337.000000 0.000146 15.000000 100.000000
11.2 1.2 0.2 2.000000 6337.000000 0.000146 15.000000 100.000000
11.8 1.8 0.8 0.000000 6337.000000 0.000146 15.000000 100.000000

// voxel 5
11.5 0.5 1.5 1.000000 8510.000000 0.006293 16.000000 40.769230

// voxel 7
11.5 1.5 1.5 0.000000 10611.000000 0.001261 -18.000000 98.958336
